Hanoi,17.00,3.81,44
New York,-2.76,3.6,54
London,5.31,4.12,93
Tokyo,8.42,10.29,35
Paris,1.98,3.09,90
Moscow,-4.05,4.29,58
Beijing,4.94,5.38,16
Sydney,24.29,5.14,80
San Jose,11.46,5.66,84
São Paulo,20.45,2.68,88
Los Angeles,10.81,1.54,83
Cao Bằng,16.60,2.74,45
Hong Kong,17.24,6.71,45
Rome,4.51,3.58,81
Dakar,24.07,4.12,46
Istanbul,7.35,3.09,53
Melbourne,20.67,6.69,75
Seoul,0.76,3.09,47
Dubai,26.96,3.09,36
Medina,21.24,5.66,26
Cairo,18.42,4.12,52
Liverpool,5.54,3.13,86
Mexico City,9.96,1.54,57
Madrid,2.07,1.03,95
Vostok,-20.12,2.25,98
Arrondissement de Lyon,0.93,1.11,98
Bangkok,32.81,5.01,51
Kolkata,23.97,3.6,38
Shanghai,6.92,6,31
Riyadh,20.13,5.7,25
Mumbai,30.99,3.09,25
Chennai,28.61,6.17,74
Manila,29.43,2.24,75
Rio de Janeiro,23.93,3.09,76
Singapore,34.65,3.6,48
Delhi,21.05,4.63,24
Santiago,15.59,0.89,61
Tel Aviv,18.03,4.12,54
Florence,6.37,0.51,92
Prague,0.17,5.14,87
Salavan,22.78,3.88,73
Montreal,-8.88,1.54,77
Caracas,16.67,1.03,73
Shenzhen,17.00,4.91,47
Guangzhou,17.76,5.36,30
Gemena,32.45,1.57,40
Kuala Lumpur,32.75,4.12,55
San Francisco,12.18,7.72,88
Vancouver,6.12,8.49,89
Lagos,31.20,1.98,27
Copenhagen,1.41,7.72,88
Vienna,1.16,4.63,86
Berlin,-0.01,4.12,92
Dallas,15.11,6.17,96
Bucharest,2.49,1.03,73
Budapest,1.01,4.63,84
Stockholm,1.79,5.66,93
Warsaw,-2.80,3.09,86
Dublin,10.60,2.24,84
San Diego,11.01,2.06,90
Auckland,19.63,4.12,83
Hotan,-4.12,0.47,55
Medan,30.02,5.14,79
Lima,18.83,3.6,85
Dhaka,23.99,0,53
Brisbane,23.24,1.79,97
Munich,-0.57,0.45,93
Cape Town,22.02,4.63,53
Jakarta,29.60,5.14,66
Dalat,16.59,2.72,97
Hongyuan,-3.05,1.58,53
Abu Dhabi,25.01,2.06,50
Bengaluru,25.43,3.6,69
Guiyang,5.27,4,60
Karachi,23.90,5.14,14
Iasi,-1.13,5.66,77
Mirny,-32.28,1.68,100
Zurich,1.49,2.06,89
Leipzig,0.87,5.14,82
Oslo,1.98,2.2,96
Halong,13.48,2.17,49
Perth,25.18,7.2,68
Sarh,26.95,2.06,32
Athens,13.11,3.58,68
Toronto,-7.01,2.06,72
Buenos Aires,17.54,4.92,89
Tynda,-23.70,1.83,96
Algiers,8.90,2.06,81
Santiago,15.59,0.89,61
Casablanca,12.19,2.06,71
Nairobi,23.93,0,50
Accra,28.23,1.54,94
Doha,25.97,4.63,24
Addis Ababa,19.49,3.09,30
Kigali,23.71,1.54,64
Amman,12.05,3.09,54
Saint Petersburg,-3.86,6,90
Hong Kong,17.24,6.71,46
Belgrade,5.10,5.66,70
Tbilisi,-0.16,11.32,40
Chișinău,-2.26,5.66,58
Baku,3.03,14.4,56
Helsinki,0.38,3.09,93
Columbus,-4.92,3.6,73
Donji grad,1.61,0,91
Kuwait City,18.81,0.45,46
